X,Y
-1.52559569,1.369674
-1.48088548,1.34968665
-1.48086781,1.34967654
-1.48087435,1.34968241
-1.48090317,1.34968808
-1.4808616,1.34966584
-1.48086681,1.34967187
-1.48086977,1.349695
-1.48087693,1.34965455
-1.48087757,1.34962279
-1.48090303,1.34969421
-1.48086751,1.34963179
-1.48085926,1.34962433
-1.48085622,1.34963038
-1.48088267,1.34964675
-1.48086664,1.34966349
-1.48087746,1.34966372
-1.48087589,1.3496751
-1.48089234,1.34967739
-1.48086214,1.34967381
-1.48086302,1.34965724
-1.480852,1.34966837
-1.48091155,1.34969605
-1.48087662,1.34967312
-1.48086735,1.34965605
-1.48086712,1.34965567
-1.48089146,1.34968564
-1.48086416,1.34965739
-1.480863,1.3496555
-1.48089177,1.3496971
-1.48087908,1.34966586
-1.48089272,1.34968091
-1.48086948,1.34966239
-1.48088113,1.34967047
-1.48089374,1.34967034
-1.48088165,1.34965319
-1.48088266,1.34966948
-1.48086999,1.34965316
-1.48086522,1.34963951
-1.48084738,1.34967029
-1.48088589,1.34966215
-1.48086177,1.34966879
-1.48087776,1.34963746
-1.48086983,1.34963204
-1.48088725,1.34964942
-1.48087982,1.34970831
-1.4808868,1.34969109
-1.48089577,1.34967778
-1.48091172,1.34968054
-1.48090027,1.34969599
-1.48085367,1.34967655
-1.48086044,1.34969294
-1.48087263,1.34967857
-1.48086688,1.34967549
-1.48087935,1.3496666
-1.48086229,1.34968618
-1.48087397,1.34969357
-1.48088531,1.34968823
-1.48088866,1.34968836
-1.48086105,1.34969084
-1.48088069,1.34967393
-1.48088262,1.34967602
-1.48089014,1.34966224
-1.48087696,1.34967314
-1.48086729,1.34968548
-1.48088832,1.34969919
-1.48088649,1.34970462
-1.48089355,1.34966914
-1.48088935,1.34967057
-1.48089672,1.34969579
-1.48087276,1.34965979
-1.48088201,1.34964214
-1.48088003,1.34967811
-1.48086299,1.34964513
-1.48087862,1.34964281
-1.4808882,1.34969754
-1.48089256,1.34969347
-1.48089335,1.34968616
-1.48089521,1.34971088
-1.48088538,1.34968473
-1.48087066,1.34966647
-1.48087505,1.34969038
-1.48088683,1.34967107
-1.48088154,1.34966932
-1.48068414,1.3496093
-1.4809853,1.34958129
-1.48091235,1.34958634
-1.48094548,1.34959085
-1.48089663,1.34958665
-1.48096631,1.34959997
-1.48096218,1.34958192
-1.48091396,1.34956276
-1.4809384,1.34967104
-1.48090547,1.34956922
-1.48091818,1.3496038
-1.48090876,1.34956452
-1.48091555,1.34963887
-1.48089334,1.34956448
-1.48083,1.34946313
-1.48091559,1.34964183
-1.48090386,1.34954672
-1.48092745,1.34968579
-1.48096925,1.34975547
-1.48085526,1.34954687
-1.4809619,1.34968807
-1.48087612,1.34952258
-1.48092242,1.34955507
-1.48084188,1.34964881
-1.48087695,1.34957123
-1.48084801,1.34955715
-1.48087005,1.34951276
-1.48086183,1.34964291
-1.4808969,1.3496661
-1.48078652,1.34964675
-1.48073853,1.34984676
-1.48079391,1.34989377
-1.48073108,1.34984971
-1.48079125,1.34982374
-1.48071993,1.34981309
-1.48077176,1.34987829
-1.48051371,1.35067
-1.48019293,1.35113817
-1.47975733,1.35188701
-1.47970988,1.3521813
-1.47894754,1.35328492
-1.47836194,1.35430208
-1.47697167,1.35681336
-1.47596193,1.35793394
-1.47346272,1.36183833
-1.47115517,1.36466562
-1.46596075,1.36866626
-1.46204041,1.37078787
-1.45517763,1.37410134
-1.45015896,1.3764272
-1.43836984,1.37985073
-1.43234417,1.3806699
-1.4037706,1.38377488
-1.38599787,1.38378104
-1.35762111,1.37989346
-1.34729838,1.37720658
-1.31712431,1.36610903
-1.28983802,1.34919448
-1.26828854,1.3331457
-1.24817992,1.31485867
-1.2068906,1.27327468
-1.2021142,1.26253881
-1.19578548,1.23141245
-1.19830809,1.21583119
-1.20338448,1.20019105
-1.19925694,1.19312479
-1.18518705,1.17535578
-1.17350346,1.16749852
-1.15673786,1.15565807
-1.15106961,1.15251542
-1.13425019,1.14584317
-1.13382805,1.14586494
-1.13552689,1.14979137
-1.13647166,1.15143698
-1.14412856,1.16369248
-1.14706603,1.16762173
-1.15321697,1.17646651
-1.15707924,1.17955144
-1.16342786,1.18739501
-1.16673477,1.19083953
-1.17123153,1.19617238
-1.17365436,1.19895401
-1.17852949,1.20451279
-1.18026939,1.20564417
-1.17994126,1.20665509
-1.17760032,1.20802209
-1.1752251,1.20659721
-1.17261919,1.20435863
-1.1661131,1.20326086
-1.16536792,1.20271933
-1.1591819,1.20245918
-1.15738357,1.20192571
-1.1547955,1.20246051
-1.15118483,1.20366777
-1.14613669,1.20534003
-1.14174704,1.20701821
-1.13980823,1.20827122
-1.13885253,1.20888504
-1.13317074,1.21213649
-1.12970244,1.21267248
