X,Y
4.47817117,3.11709439
4.48991993,3.15171002
4.46721908,3.22262256
4.4729393,3.31496531
4.48618735,3.34894703
4.48785057,3.37850311
4.48795563,3.39164848
4.47875736,3.39512237
4.48475692,3.38632243
4.48647301,3.39541935
4.48771889,3.38907318
4.49765542,3.39048809
4.48778372,3.38379385
4.49261382,3.38231614
4.49356549,3.37444735
4.49632619,3.37779261
4.5010518,3.34832047
4.49892445,3.30838257
4.49428565,3.18936201
5.9004584,1.9173
5.90977655,1.90074785
5.93611956,1.89913174
5.94247134,1.90076301
5.95816467,1.89208955
5.97171372,1.89467318
6.00109199,1.8814929
6.01271289,1.89094869
6.03515549,1.89031739
6.07554269,1.86829194
6.07754752,1.88610105
6.00732368,1.83620768
5.99897377,1.81541401
5.95616043,1.7065551
5.95729371,1.69237772
5.95467198,1.65140534
5.95827564,1.63803689
5.90462518,1.85989632
5.93550743,1.84005637
5.99052716,1.83764775
5.99551659,1.84023517
6.04314736,1.84869809
6.07161497,1.85608614
6.17422569,1.89481423
6.21583197,1.91244042
6.22914219,1.91300512
6.2350089,1.90453047
6.20898384,1.89927783
6.21282573,1.8945591
6.2200575,1.89609881
6.22292506,1.8886539
6.20371163,1.89346696
6.20749596,1.89824975
6.22503592,1.89672873
6.19660914,1.89277185
6.20192617,1.89225185
6.19846542,1.89047572
6.19504089,1.88415866
6.20731967,1.89137427
6.19230558,1.88702127
6.19596694,1.89240309
6.19168597,1.89272669
6.18829815,1.90164244
6.18937624,1.8950628
6.18727688,1.89726452
6.1873896,1.89184871
6.19137919,1.89529671
6.18928743,1.89937634
6.19238479,1.89244856
6.18769704,1.85772693
6.19345011,1.83670755
6.18827715,1.80403647
6.19102153,1.75923797
6.18852585,1.74172899
6.18608212,1.69299188
6.18764179,1.67947934
6.18817883,1.68132448
6.19200825,1.67111939
6.18800114,1.66367132
6.19370145,1.67417603
6.18404982,1.69691772
6.19093881,1.72058735
6.19651176,1.73714206
6.1932899,1.75297409
6.2032621,1.77768434
6.18999699,1.81530631
6.21303938,1.83841163
6.19552616,1.8653491
6.21805388,1.88209704
6.2210062,1.89249086
6.216419,1.89702941
6.20461416,1.89154009
6.21942409,1.9009769
6.20235452,1.90141261
6.22265068,1.90835589
6.20486099,1.90900236
6.19270307,1.90908987
6.18081419,1.90665645
6.19228862,1.88993164
6.20427047,1.87413847
6.23087436,1.85429383
6.23606888,1.85133195
6.25946013,1.84191375
6.25709008,1.83780778
6.27520809,1.83115444
6.27689723,1.82183826
6.28944095,1.81984997
6.30296097,1.80044366
6.3056532,1.78731616
6.30093878,1.77865969
6.29563214,1.76800913
6.29637105,1.76506573
6.29036253,1.76184028
6.28697397,1.75506113
6.27718782,1.74534028
6.26939448,1.73822952
6.25635366,1.73198349
6.24657086,1.73088609
6.23853361,1.72955464
6.22693106,1.72394379
6.21444199,1.72428178
6.20533499,1.73061474
6.19617283,1.73850055
6.18409028,1.7408704
6.19486941,1.7361683
6.19781389,1.72117289
6.20077492,1.70819765
6.20171163,1.70350844
6.21334163,1.70060791
6.21328365,1.70036556
6.21228554,1.70120357
6.22111925,1.68088
6.25763257,1.65012471
6.27023274,1.64673218
6.29157527,1.64177801
6.31768977,1.64133091
6.35000573,1.64700243
6.37341191,1.64609811
6.43564314,1.6790218
6.47236257,1.69661612
6.49337637,1.73355483
6.51391377,1.75745424
6.48387759,1.76838196
6.45499783,1.76526413
6.4243872,1.77985721
6.42274716,1.79865328
6.32095166,1.87482454
6.26226293,1.90166829
6.19564564,1.91072683
6.20405926,1.91426097
6.1973917,1.91892771
6.20796413,1.91813939
6.20175134,1.90519098
6.20629121,1.90351386
6.2045659,1.90777207
6.21149593,1.90149147
6.21200875,1.90690579
6.22919296,1.91661405
6.26641187,1.94653597
6.28665988,1.98408342
6.30291902,1.99829699
6.31993507,2.04050951
6.3259482,2.04820725
6.33449726,2.05821374
6.35528592,2.09737101
6.39488558,2.08871498
6.40064149,2.08029988
6.41546355,2.06542486
6.42339763,2.04145567
6.43499903,2.02412595
6.44217223,1.99836954
6.44763482,1.97140702
6.44958273,1.88638298
6.44439637,1.87746462
6.45509401,1.87810529
6.4788272,1.87387943
6.4845441,1.8731612
6.48359002,1.86720813
6.48453433,1.87783945
6.48449096,1.87474093
6.48099861,1.87076172
6.47991085,1.87703861
6.47400674,1.87654211
6.46935891,1.87533467
6.45443825,1.87988174
6.42845227,1.88930723
6.41690082,1.88290314
6.39862998,1.89712626
6.38122812,1.8965116
6.36985064,1.89527344
6.36390212,1.90627031
6.399996,1.94513609
6.41849311,1.98023648
6.43081047,1.99835828
6.43984406,2.04707516
6.44361214,2.09538999
6.43058121,2.13085031
6.40516121,2.17971178
6.35364035,2.23801427
7.56033248,6.92380769
7.55377776,7.01076217
7.56071958,7.0431043
7.5511562,7.11360034
7.55527503,7.11885345
7.55353435,7.12338249
7.5541284,7.12312327
7.55351139,7.12119523
7.55133194,7.11317279
7.55275161,7.11362819
7.55508291,7.1130694
7.55381509,7.10975236
7.55305364,7.11322754
7.55382795,7.11340047
7.55374561,7.11415727
7.55494454,7.12150587
7.55598283,7.11946566
7.55441193,7.11618048
7.55439452,7.12122271
7.55470291,7.12101436
7.55346914,7.11927995
7.55189692,7.12069078
7.55458525,7.12049208
7.55408079,7.12325307
7.55277948,7.12037484
7.55286809,7.12407961
7.55112292,7.1254556
7.55269102,7.1241231
7.55443285,7.11548783
7.55336754,7.12481714
7.5529295,7.11016453
7.54955141,7.10875333
7.54913097,7.12010963
7.55134002,7.11745411
7.55078992,7.13020325
7.54621535,7.1357461
7.55067298,7.12982375
7.54464255,7.14473984
7.54956567,7.13118645
7.54602861,7.15313977
7.55779793,7.13662829
7.54800706,7.13620818
7.5479431,7.12925002
7.5492387,7.1333971
7.54749608,7.13517737
7.55019034,7.13350887
7.54672386,7.12333077
7.54244679,7.13669355
7.55558027,7.13206239
7.55089354,7.12201477
7.53737808,7.14252005
7.55221479,7.11946579
7.55251529,7.11590395
7.55131907,7.12104898
7.54249636,7.11968969
7.55159026,7.10782691
7.54801666,7.10618827
7.55328864,7.10617134
7.54904755,7.10425143
7.55272331,7.10452065
7.54948772,7.10560987
7.55223438,7.10285185
7.54965197,7.10341312
7.55279077,7.10316313
7.55209928,7.10127277
7.55254699,7.10332672
7.54865799,7.1036652
7.55526762,7.10191314
7.5486265,7.1037674
7.55519814,7.10082536
7.55117182,7.10311035
7.5532239,7.10707633
7.55341547,7.10963049
7.55528627,7.11000272
7.55326525,7.11161043
7.55616792,7.11417106
7.55513414,7.11490341
7.5582469,7.11854778
7.55818352,7.11645053
7.5589263,7.11743602
7.55540096,7.11513421
7.55620681,7.11758415
7.5550509,7.12164428
7.55934333,7.11656263
7.5561704,7.12193585
7.55790902,7.11434641
7.55257833,7.12428606
7.55800365,7.12405683
7.55873456,7.12086471
7.55273138,7.11544645
7.56270274,7.16599
7.55086199,7.21100809
7.55642437,7.24283456
7.55182844,7.29826146
7.55198829,7.37229694
7.55614651,7.34325199
7.55224116,7.3088226
7.55056259,7.29139582
7.54416709,7.27841214
7.55464787,7.26893472
7.5477089,7.25568433
7.54862553,7.23891591
7.55500313,7.21398998
7.55176419,7.20853813
7.55614437,7.18888079
7.54145578,7.16426471
7.53044248,7.15447421
7.54330353,7.14284403
7.54875623,7.14921615
7.54549208,7.12344329
