id,X,Y,ORIENTATION
0,4.32143272,1.24738003,2.8995308527
0,4.26920209,1.24002285,3.020452873
0,4.27398737,1.26308111,2.9407063936
0,4.30218495,1.22791899,2.916459258
0,4.2941877,1.2757298,2.8790452566
0,4.3043483,1.23567581,2.7932585224
0,4.28727159,1.23250159,2.870675767
0,4.27003181,1.24371294,2.7850494909
0,4.3284601,1.26003224,2.7425543043
0,4.27325157,1.22526531,2.8143533502
0,4.4988294,1.68198506,3.0519356093
0,4.23003721,1.14096638,2.8040931574
0,4.26439145,1.20139665,2.823078199
0,4.24285003,1.18483969,2.9016426055
0,4.26799946,1.20444737,2.8484816629
0,4.25425572,1.18087988,2.8935882368
0,4.25966241,1.20167774,2.8662532194
0,4.2592513,1.21152424,2.8444068834
0,4.26115022,1.19134676,2.8440073403
0,4.26471356,1.20385514,2.8382255628
0,4.26125531,1.21824362,2.8147608515
0,4.26713018,1.21704289,2.8171682134
0,4.25428128,1.2246696,2.7822440295
0,4.26449567,1.22642796,2.7760148459
0,4.26758271,1.22535869,2.7662946397
0,4.25527907,1.23043729,2.7626604918
0,4.26852645,1.23189942,2.7453765655
0,4.26376232,1.24759377,2.7291995353
0,4.26864768,1.24852659,2.7195317887
0,4.26775372,1.24873345,2.7170750131
0,4.27064284,1.25888961,2.6924961334
0,4.27668899,1.25914209,2.709932285
0,4.2735359,1.26148188,2.7353219152
0,4.27357621,1.25826047,2.7396581312
0,4.27746459,1.26845402,2.7200507705
0,4.28396844,1.26272391,2.7477791953
0,4.27727636,1.25797525,2.772871095
0,4.28095504,1.25573805,2.8230488663
0,4.28293399,1.24536803,2.8321643315
0,4.28355808,1.25010748,2.8447974592
0,4.29556047,1.25488279,2.8555938999
0,4.28541095,1.24642917,2.8640585825
0,4.30258352,1.24778926,2.8700585017
0,4.28399434,1.24331887,2.8760294407
0,4.28125189,1.23566063,2.8983550661
0,4.2918849,1.23573281,2.9031335344
0,4.27546197,1.22874628,2.9069628933
0,4.28239458,1.23052713,2.9174115436
0,4.26166616,1.22104024,2.9131328411
0,4.26935704,1.23217562,2.9157967892
0,4.26915043,1.23245132,2.9166730237
0,4.28909427,1.26253857,2.9238311674
3,7.65253788,4.11470638,-0.1295340723
3,7.67385403,4.19384519,-0.350379747
0,7.24976328,4.14788879,2.9313935745
3,7.67676778,4.20854617,-0.4114280365
0,7.86570248,4.15059037,4.5892615606
3,7.65314415,4.11813113,-0.1093393902
3,7.60085214,3.98467678,0.3025058613
1,8.3124626,4.07498508,4.2967549868
3,7.66619274,4.1708026,-0.2769978629
3,7.66151745,4.16069938,-0.2740886381
0,8.39778763,4.0779815,3.4085251273
1,8.17559323,3.98704117,3.1468196322
3,7.6970021,4.29267141,-0.5369089303
0,8.31297242,4.07534439,3.8527438092
0,8.30113369,4.08612338,-0.9794248178
3,7.68749866,4.27516488,-0.4749078977
3,7.68835804,4.2806891,-0.5510104002
3,7.6899279,4.29349197,-0.5509872343
1,6.3936597,4.61323186,-1.2393987312
3,7.69580204,4.31008445,-0.577103179
3,7.68458992,4.26897789,-0.5095071544
3,7.68796764,4.25867459,-0.5126602288
3,7.68452223,4.25425771,-0.5076390723
3,7.68862381,4.26220032,-0.5130876536
3,7.6834948,4.25372203,-0.5041742671
3,7.68125636,4.26771035,-0.5127728182
3,7.68265576,4.24962837,-0.4720014733
3,7.6855015,4.24035217,-0.4859171633
3,7.68359825,4.24316705,-0.4711107837
3,7.68477569,4.23987623,-0.4776024687
3,7.68412559,4.23741735,-0.4686604705
3,7.68555286,4.23966764,-0.4821490934
3,7.68246446,4.23471636,-0.4824386795
3,7.68458467,4.23434861,-0.4680965337
3,7.68597598,4.24056194,-0.4947818885
3,7.68923785,4.2521188,-0.5084421208
3,7.68653298,4.24142154,-0.4981944729
3,7.68721903,4.24596704,-0.5052031997
3,7.68922016,4.24817743,-0.5223305843
3,7.68818851,4.24386979,-0.503797316
3,7.69182685,4.25682925,-0.5435271821
3,7.68650909,4.24369049,-0.5027881484
3,7.69018442,4.25630491,-0.5400727582
3,7.69199617,4.2528112,-0.5382385678
3,7.69145079,4.26259355,-0.5526185699
3,7.6893505,4.24800592,-0.5271972321
3,7.68803367,4.25047177,-0.5252933511
3,7.69359238,4.27103379,-0.5764123427
3,7.69375907,4.26933494,-0.5667596554
3,7.69352299,4.26782835,-0.5675244363
3,7.69492646,4.27906111,-0.5700201523
3,7.69155444,4.26043143,-0.5438453601
3,7.69142819,4.27018276,-0.553324685
3,7.69024853,4.26948184,-0.5490028797
3,7.69370149,4.26531658,-0.5566615737
3,7.6959226,4.2750908,-0.5797156159
3,7.69144252,4.2651391,-0.54723526
3,7.69304612,4.28270316,-0.5591117241
3,7.69251522,4.26561371,-0.5458322657
3,7.69819297,4.29323418,-0.5902114888
3,7.68722817,4.270146,-0.5145916481
3,7.68354187,4.24407367,-0.4791051945
3,7.68122262,4.24381261,-0.4740886151
1,7.96294479,4.7796836,3.8126961985
3,7.62305757,3.92563491,-0.1307227891
2,4.35048984,8.05742074,2.2873679371
2,4.33629524,8.05161661,2.2865137323
2,4.35041628,8.05137254,2.2860898754
2,4.34425925,8.06190872,2.284021424
2,4.34196012,8.05316123,2.2812894152
2,4.35200494,8.05010263,2.2919041157
0,4.32291427,7.59342981,2.5295300986
0,4.35532568,7.40301941,-1.3407531442
2,4.32638166,8.05388207,2.2830688707
2,4.32399667,8.0536556,2.28512205
2,4.31287825,8.05311063,2.2875778612
2,4.73882421,8.30136355,3.2671811826
0,4.51641538,7.73425075,-1.4043337135
2,4.26483312,8.07414654,2.257927241
0,4.26579337,8.68401439,-1.1772404428
2,4.2838603,8.05255726,2.2702836001
2,4.28706192,8.0487816,2.2725933718
2,4.26321685,8.04478065,2.2768820685
2,4.29130025,8.05070649,2.2771137276
2,4.29652146,8.05329344,2.2863680351
2,4.29060094,8.05112541,2.2981101054
2,4.29316531,8.05238204,2.292164143
2,4.29199445,8.04988183,2.3017077163
2,4.31162284,8.04950311,2.3040174892
2,4.29788354,8.04954211,2.3034750886
2,4.30877488,8.04346137,2.3211392228
2,4.30344912,8.04779085,2.3107389563
2,4.31374126,8.04761728,2.3100724156
2,4.3054738,8.05373083,2.3114203039
2,4.3137185,8.04665478,2.3161410107
2,4.31285998,8.04913788,2.3222502842
2,4.3101005,8.04322799,2.3233234106
2,4.31688567,8.0453375,2.3195733169
2,4.31427199,8.04658365,2.3143649648
2,4.31604884,8.04764556,2.3134403544
2,4.31933366,8.04994702,2.3075562549
2,4.31565187,8.04679072,2.3172017316
2,4.32200923,8.04737749,2.3028540705
2,4.31856299,8.04664459,2.2939328175
