x,y,radius
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
457,1,26.019323349
447,1,36.0139846802
434,1,51.521938324
430,1,59.5190048218
417,2,64.0489120483
418,3,66.5677337646
407,4,67.1510467529
402,10,68.3122329712
385,21,68.3148040771
384,23,68.6477508545
370,28,68.7463912964
369,28,68.9818191528
364,27,68.9423141479
356,27,69.4054336548
347,23,69.2898254395
345,19,69.5538635254
340,13,69.6592559814
335,9,69.5845794678
328,2,69.0453720093
321,1,61.5183906555
319,1,56.5089492798
638,272,51.5098075867
638,252,56.0090255737
638,229,62.0081634521
638,211,63.0080337524
637,192,69.0164031982
638,183,68.5074005127
638,172,74.0068588257
638,151,75.5067214966
637,129,79.514251709
637,118,79.5252532959
637,105,82.5137329102
636,83,83.5539703369
617,74,77.201133728
613,69,73.736114502
605,59,68.2826004028
605,54,64.2359924316
605,44,55.6058540344
608,38,49.1173057556
614,28,37.5367469788
619,22,29.3982276917
627,12,17.3278217316
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
0,0,0
634,18,19.1638679504
625,40,42.8515853882
615,57,62.1169242859
613,62,67.501953125
610,69,75.307800293
605,75,82.8025741577
605,79,86.0059127808
600,85,93.7684326172
602,87,94.807800293
582,95,95.6526565552
561,105,95.6152114868
536,112,94.158416748
505,122,92.81224823
494,123,92.5055007935
466,130,91.6964492798
454,129,91.4720458984
437,132,91.0032730103
416,131,90.8735656738
400,134,90.5971221924
380,129,90.7149124146
361,128,90.7297210693
340,123,90.9925689697
334,120,91.128074646
325,114,91.3260726929
316,114,91.3143615723
307,102,91.7405853271
300,94,92.0982513428
293,84,93.0258483887
