x,y,radius
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
457,1,26.019323349
447,1,36.0139846802
434,1,51.521938324
417,2,64.0489120483
418,3,66.5677337646
407,4,67.1510467529
402,10,68.3122329712
385,21,68.3148040771
384,23,68.6477508545
370,28,68.7463912964
369,28,68.9818191528
364,27,68.9423141479
356,27,69.40543365479999
347,23,69.28982543949999
345,19,69.5538635254
340,13,69.65925598140001
335,9,69.5845794678
328,2,69.04537200930001
319,1,56.50894927979999
638,272,51.5098075867
638,252,56.0090255737
638,229,62.0081634521
638,211,63.008033752399996
637,192,69.0164031982
638,183,68.5074005127
638,172,74.0068588257
638,151,75.5067214966
637,129,79.51425170899999
637,105,82.5137329102
636,83,83.5539703369
617,74,77.201133728
613,69,73.73611450199999
605,44,55.6058540344
608,38,49.11730575560001
619,22,29.3982276917
627,12,17.3278217316
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
0,0,0.0
634,18,19.1638679504
625,40,42.8515853882
615,57,62.116924285900005
613,62,67.501953125
610,69,75.307800293
605,75,82.80257415770001
600,85,93.76843261719999
602,87,94.80780029299999
582,95,95.65265655520001
561,105,95.6152114868
536,112,94.158416748
505,122,92.81224823
494,123,92.5055007935
466,130,91.69644927979999
454,129,91.4720458984
437,132,91.0032730103
416,131,90.87356567379999
400,134,90.5971221924
380,129,90.7149124146
340,123,90.99256896969999
334,120,91.128074646
325,114,91.32607269290001
316,114,91.3143615723
307,102,91.74058532709999
293,84,93.02584838870001
291,72,93.2997436523
293,65,93.3515930176
293,58,93.2560119629
300,37,93.3622970581
301,30,93.2739181519
302,23,93.4481048584
308,13,93.129196167
319,2,92.5338745117
324,3,92.0489959717
328,1,90.0056533813
336,1,86.0131759644
339,1,85.0133361816
