X,Y,RADIUS
4.47817117,3.11709439,0.12330743386186091
4.48991993,3.15171002,0.17029367551457736
4.46721908,3.22262256,0.24301431311708957
4.4729393,3.31496531,0.3004706795322273
4.48618735,3.34894703,0.3110187981417017
4.48785057,3.37850311,0.3129453391249818
4.48795563,3.39164848,0.3171173116949306
4.47875736,3.39512237,0.3156385589188296
4.48475692,3.38632243,0.31665644438283136
4.48647301,3.39541935,0.31576329691095534
4.48771889,3.38907318,0.31642522255084327
4.49765542,3.39048809,0.31556486131179384
4.48778372,3.38379385,0.3164585204013713
4.49261382,3.38231614,0.3147616582450119
4.49356549,3.37444735,0.3154094706211955
4.49632619,3.37779261,0.3152765994421225
4.5010518,3.34832047,0.31368416540644234
4.49892445,3.30838257,0.3102331087212467
4.49428565,3.18936201,0.2529428454790185
5.9004584,1.9173,0.23037577232831982
5.90977655,1.90074785,0.2497981896812871
5.93611956,1.89913174,0.27596355119518395
5.94247134,1.90076301,0.27983771054304746
5.95816467,1.89208955,0.3053440005763366
5.97171372,1.89467318,0.30272514062549677
6.00109199,1.8814929,0.3266668841930576
6.01271289,1.89094869,0.33296032858848795
6.03515549,1.89031739,0.34989320724226863
6.07554269,1.86829194,0.3619420714618047
6.07754752,1.88610105,0.36622526883833956
6.00732368,1.83620768,0.33808393756785626
5.99897377,1.81541401,0.3226219371455615
5.95616043,1.7065551,0.24260604053935192
5.95729371,1.69237772,0.21421300724564815
5.95467198,1.65140534,0.1280574275159887
5.95827564,1.63803689,0.07540646697307823
5.90462518,1.85989632,0.08096073691565833
5.93550743,1.84005637,0.18079474956699934
5.99052716,1.83764775,0.26216955694916383
5.99551659,1.84023517,0.28471671252074804
6.04314736,1.84869809,0.31792441289435425
6.07161497,1.85608614,0.3495860269445211
6.17422569,1.89481423,0.39604135460229895
6.21583197,1.91244042,0.40017722782811643
6.22914219,1.91300512,0.4037807957710621
6.2350089,1.90453047,0.40366723708611335
6.20898384,1.89927783,0.397378315442907
6.21282573,1.8945591,0.3917362382502755
6.2200575,1.89609881,0.390413969386056
6.22292506,1.8886539,0.38686798818988216
6.20371163,1.89346696,0.38586753121340267
6.20749596,1.89824975,0.3837832639204265
6.22503592,1.89672873,0.38290423904501864
6.19660914,1.89277185,0.3814795451877024
6.20192617,1.89225185,0.3814310413199197
6.19846542,1.89047572,0.38130164731450983
6.19504089,1.88415866,0.38167678234612107
6.20731967,1.89137427,0.3821943128759752
6.19230558,1.88702127,0.3820850374686357
6.19596694,1.89240309,0.38344087795222614
6.19168597,1.89272669,0.3887618334721867
6.18829815,1.90164244,0.39003319387930346
6.18937624,1.8950628,0.39042973742904546
6.18727688,1.89726452,0.3901310503458753
6.1873896,1.89184871,0.39034913156944817
6.19137919,1.89529671,0.3898919002071655
6.18928743,1.89937634,0.39074126615083066
6.19238479,1.89244856,0.38968426969178277
6.18769704,1.85772693,0.3869603994000799
6.19345011,1.83670755,0.3848330847053687
6.18827715,1.80403647,0.3763128741714756
6.19102153,1.75923797,0.3594227065332225
6.18852585,1.74172899,0.3548972248948445
6.18608212,1.69299188,0.31858303427223367
6.18764179,1.67947934,0.31220048298749853
6.18817883,1.68132448,0.3121345290247324
6.19200825,1.67111939,0.30140021029430303
6.18800114,1.66367132,0.2968500861966134
6.19370145,1.67417603,0.3010142052561219
6.18404982,1.69691772,0.32131162385013295
6.19093881,1.72058735,0.3335535925276605
6.19651176,1.73714206,0.34362006631716047
6.1932899,1.75297409,0.3521435027888561
6.2032621,1.77768434,0.36029770384755444
6.18999699,1.81530631,0.37047245499159454
6.21303938,1.83841163,0.3748943981385658
6.19552616,1.8653491,0.3789518295853907
6.21805388,1.88209704,0.3792720458901087
6.2210062,1.89249086,0.3790597364582107
6.216419,1.89702941,0.38138497883516603
6.20461416,1.89154009,0.3813237282524181
6.21942409,1.9009769,0.3840120180812366
6.20235452,1.90141261,0.384005679699055
6.22265068,1.90835589,0.38671542703803874
6.20486099,1.90900236,0.39183589634177246
6.19270307,1.90908987,0.3931395188969585
6.18081419,1.90665645,0.40328434140679104
6.19228862,1.88993164,0.4010487431010229
6.20427047,1.87413847,0.39974896618802597
6.23087436,1.85429383,0.3925563346761463
6.23606888,1.85133195,0.3920244205017808
6.25946013,1.84191375,0.3851581926978429
6.25709008,1.83780778,0.3830090910723278
6.27520809,1.83115444,0.3763968034499558
6.27689723,1.82183826,0.3738723165443721
6.28944095,1.81984997,0.3664360199845039
6.30296097,1.80044366,0.3542673322248162
6.3056532,1.78731616,0.3506930700353664
6.30093878,1.77865969,0.3474977306298072
6.29563214,1.76800913,0.3464065942440682
6.29637105,1.76506573,0.3457302994085187
6.29036253,1.76184028,0.3437453659830902
6.28697397,1.75506113,0.3442918590820136
6.27718782,1.74534028,0.3403144540521105
6.26939448,1.73822952,0.3398623279715268
6.25635366,1.73198349,0.3428310800075368
6.24657086,1.73088609,0.34168366799520955
6.23853361,1.72955464,0.34378516601134784
6.22693106,1.72394379,0.34209132968481554
6.21444199,1.72428178,0.34459332344835153
6.20533499,1.73061474,0.34492297014062295
6.19617283,1.73850055,0.3494158408155221
6.18409028,1.7408704,0.35223355250764893
6.19486941,1.7361683,0.3398475373056211
6.19781389,1.72117289,0.33138704033349287
6.20077492,1.70819765,0.3228609413307324
6.20171163,1.70350844,0.3207197488084521
6.21334163,1.70060791,0.3184695578572878
6.21328365,1.70036556,0.3182775175904632
6.21228554,1.70120357,0.3245940095143477
6.22111925,1.68088,0.3113559281507661
6.25763257,1.65012471,0.28442153162633915
6.27023274,1.64673218,0.27910448968697443
6.29157527,1.64177801,0.26516005923861263
6.31768977,1.64133091,0.26237402858781
6.35000573,1.64700243,0.2453318051486967
6.37341191,1.64609811,0.23215130874357037
6.43564314,1.6790218,0.17708651451974627
6.47236257,1.69661612,0.1448694787828737
6.49337637,1.73355483,0.11893405943498236
6.51391377,1.75745424,0.0879399099315579
6.48387759,1.76838196,0.10738425880747074
6.45499783,1.76526413,0.16917371381532434
6.4243872,1.77985721,0.2393064657042569
6.42274716,1.79865328,0.2615137453977129
6.32095166,1.87482454,0.35982141239721
6.26226293,1.90166829,0.3812122469024602
6.19564564,1.91072683,0.3873338476416928
6.20405926,1.91426097,0.3854026338244479
6.1973917,1.91892771,0.38405047939533576
6.20796413,1.91813939,0.3808231795187392
6.20175134,1.90519098,0.3787856156799948
6.20629121,1.90351386,0.3782940758292543
6.2045659,1.90777207,0.37769174767453745
6.21149593,1.90149147,0.3818540309365586
6.21200875,1.90690579,0.3859395741161004
6.22919296,1.91661405,0.38149665760146606
6.26641187,1.94653597,0.3701957883155512
6.28665988,1.98408342,0.36236453102366384
6.30291902,1.99829699,0.35418967880099345
